Trick,Level,Balls,Link,Video,Comments,
Olas,6,3,https://libraryofjuggling.com/Tricks/3balltricks/Olas.html,,,
Compressed Olas,6,3,https://libraryofjuggling.com/Tricks/3balltricks/CompressedOlas.html,,,
Orka's Mess,5,3,https://libraryofjuggling.com/Tricks/3balltricks/Orka'sMess.html,,,
Rubenstein's Revenge,6,3,https://libraryofjuggling.com/Tricks/3balltricks/Rubenstein'sRevenge.html,,,
Frances,5,3,https://libraryofjuggling.com/Tricks/3balltricks/Frances.html,,,
Nelson's Nemesis,5,3,https://libraryofjuggling.com/Tricks/3balltricks/Nelson'sNemesis.html,https://www.youtube.com/watch?v=cD0z-VXsF_g&ab_channel=GuillaumeRiesen,Like a Rubenstein's revenge with columns,
Crossed-Arm Factory,5,3,https://libraryofjuggling.com/Tricks/3balltricks/CrossedArmFactory.html,,"Factory but catching dropping ball with crossed arms, tricky but going OK",
Symmetric Georgian Shuffle,5,3,https://libraryofjuggling.com/Tricks/3balltricks/SymmetricGeorgianShuffle.html,,Like a mixture of Georgian Shuffle and Al's slide,
Forklift,5,3,https://libraryofjuggling.com/Tricks/3balltricks/Forklift.html,,,
Relf's Revenge,5,3,https://libraryofjuggling.com/Tricks/3balltricks/Relf'sRevenge.html,,Follow with an orbit,
Mills Mess Shower,5,3,https://libraryofjuggling.com/Tricks/3balltricks/MillsMessShower.html,,Mills mess plus a shower pass,
Peter's Shuffle,5,3,https://libraryofjuggling.com/Tricks/3balltricks/Peter'sShuffle.html,,Boston shuffle with an orbit,
Matt's Mess,5,3,https://libraryofjuggling.com/Tricks/3balltricks/Matt'sMess.html,,Infinity columns with crossed arm throws,
Relf's Factory,5,3,https://libraryofjuggling.com/Tricks/3balltricks/Relf'sFactory.html,,A slower factory-esk trick with a flourish,
Boston Shuffle,5,3,https://libraryofjuggling.com/Tricks/3balltricks/BostonShuffle.html,,"Like an alternating shuffle, good practice for shuffle",
Columns: Shower Variation,5,3,https://libraryofjuggling.com/Tricks/3balltricks/ColumnShowVar.html,,,
Columns: Box Variation,5,3,https://libraryofjuggling.com/Tricks/3balltricks/ColumnBoxVar.html,,,
Weave,4,3,https://libraryofjuggling.com/Tricks/3balltricks/Weave.html,,Kinda like fancier takeouts,
Triazzle,4,3,https://libraryofjuggling.com/Tricks/3balltricks/Triazzle.html,,,
Truffle Shuffle,4,3,https://libraryofjuggling.com/Tricks/3balltricks/TruffleShuffle.html,,,
Shower Cascade,4,3,https://libraryofjuggling.com/Tricks/3balltricks/Shower-Cascade.html,,Tossouts,
Rolf's Wave,4,3,https://libraryofjuggling.com/Tricks/3balltricks/Rolf'sWave.html,,Like a gutted Kingston shuffle,
Reverse Factory,4,3,https://libraryofjuggling.com/Tricks/3balltricks/ReverseFactory.html,,,
Follow,4,3,https://libraryofjuggling.com/Tricks/3balltricks/Follow.html,,,
